exporter,h,current_mt,current_lo,current_hi,harm_log_mt,harm_log_lo,harm_log_hi,harm_lvl_mt,harm_lvl_lo,harm_lvl_hi
Australia,0,-2.0844028667215055,-3.1862292821613623,-0.6203551879910789,-3.548344380705897,-4.597702733364869,-0.9055989171554415,-3.283161089426422,-4.369304419646355,-0.9959207230256761
Australia,1,-1.1440980235804163,-3.055267417355963,0.9661926672088321,-2.4908372445137914,-4.030767944001273,2.2934313268093423,-2.17058458818133,-3.6001600705757673,2.0574695532772433
Australia,2,-0.7766095885266711,-2.137113699845539,0.9109083785897701,-1.6275229254143946,-5.258640008426282,1.0759012664197218,-1.6092563346811903,-5.036397263124289,1.065240978382318
Australia,3,0.5728514458307642,-1.1711795622629837,1.8562348696798188,0.3535627760395164,-2.4898299165461895,2.8697499296858258,0.32627632369525805,-2.4118567269494475,2.8130047812990497
Australia,4,-0.34930739240050374,-2.198394992702947,1.765698904152519,0.6040104469683722,-2.882519954873772,3.277969223503179,0.663049032723996,-2.8151013667659366,3.326360927176321
Australia,5,-1.2518110784385026,-2.843296639893457,1.137266282400474,-0.16018293313569626,-3.8643975967964908,2.620796597020446,-0.18876145307072845,-3.8479863072179503,2.5633766251799877
Australia,6,-1.1573725967404245,-2.3164570524565633,1.3322732658663865,-1.229010866009913,-3.7831130746188184,2.676828021397982,-1.2877552811950472,-3.695607789538359,2.6178454057604448
Australia,7,-1.4770925436359656,-2.7361434159212004,1.276541119283633,-1.8935335508548645,-4.365236441982159,2.532510315588572,-1.8828213108180283,-4.189521591852577,2.519869082444423
Australia,8,-1.1871635007718113,-2.3924954040516297,1.620654043321032,-1.5101486823065664,-4.0641102666136595,3.186913215872572,-1.4095686972973556,-3.7609025031959575,3.17510341775737
Australia,9,-0.0783895105232016,-2.2188842361309145,1.8923062906946142,0.2575040026585095,-3.3414050718262702,3.4645456302463247,0.12663614429135447,-3.2281948261458355,3.3853822135681013
Australia,10,-0.6350382917029831,-2.4270650245803402,2.016365436367147,0.053494205322787466,-3.8778023980804663,3.4327893955927986,0.09898431740088755,-3.733335242241157,3.433764316762309
Australia,11,-1.2572852535078411,-2.0624009254169007,2.1711060596997998,-0.052627343360761976,-3.807841270077165,3.527663284171375,-0.19058425539843055,-3.697736588036471,3.4572689546972586
Australia,12,-0.42355627775158106,-2.2848962610742793,2.183427953190449,0.0104846634319246,-3.832050622511987,3.569409219996635,-0.1695431837660776,-3.7434003571187477,3.5539084189983132
Australia,13,-0.26474547973123796,-2.2927816446060785,2.3229266837534457,-0.23959601522291074,-3.9019500113112775,3.5210136114492565,-0.3249745857530211,-3.754425432041058,3.4858436005952913
Australia,14,0.31338387285453234,-2.2293304353391794,2.2641230160607124,0.039978079999524616,-3.7892507627079937,3.689573739864639,-0.01866785502592529,-3.676040387751226,3.6387813514564127
Australia,15,0.17273910507868429,-2.2153053207533957,2.1569684288402846,0.8936561219959015,-3.77680998212632,3.649070071938465,1.061010539409463,-3.6464375026451195,3.6077968627903143
Australia,16,-0.0077775861367099484,-2.221187258460331,2.2276813359792467,0.10648458546466386,-3.8537630321405665,3.6301865528353967,0.19823386569128032,-3.727637939850441,3.5669364348160606
Australia,17,-0.5419407036877032,-2.245356240405293,2.238406172020065,-0.6283157987946283,-3.953326435121814,3.537848715473756,-0.8022926024947744,-3.819760662319996,3.5127146901898425
Australia,18,-0.6450134658137179,-2.3437911175489363,2.3015986815200686,0.1523665104082047,-3.9551000251592123,3.622068735003926,0.2044512636981465,-3.808207444764391,3.591947912291354
Indonesia,0,2.0211263023285753,-2.1789746154335847,6.632454957757725,-0.021324386617766866,-4.319515758777384,4.320451293047507,-0.5937835043093623,-4.671941230668395,2.164159951502052
Indonesia,1,2.5426749274844016,-0.9585054359609902,6.085700328872888,0.38905220476891833,-4.052774772066423,4.593402384233527,0.416816202622949,-3.603490001084922,4.152653797109771
Indonesia,2,0.9731664016672953,-2.310221690085761,5.019962270000094,-1.066896315857388,-6.2416118219394985,4.738931976208848,-1.0089535479863048,-5.823871979494786,3.976463677393059
Indonesia,3,1.5433945790637094,-2.0831275607093374,5.599739252396088,0.11556915597055353,-5.952442540254505,7.261150630807283,0.47724367501370535,-5.234220872848655,6.666539126575716
Indonesia,4,0.42287472093826495,-2.471264712049132,4.975257502885781,0.008807736702001634,-7.000702574977452,6.4317291638391305,0.05119440489047561,-6.235940646268723,5.519382465809448
Indonesia,5,0.8163369856622378,-2.3017575937177903,4.712012573529995,0.7820126007549653,-6.866288123851427,7.560746534078614,0.8974684555451511,-5.890098343924094,6.51812068518193
Indonesia,6,1.2879132201910024,-2.2997880766184493,4.701053489342031,1.208948604713115,-7.251274708908941,9.144532461951483,1.6661077060817377,-6.017292082992354,8.152435537263333
Indonesia,7,1.251284063158236,-3.0463737837919345,4.425259254168327,0.4703069499297356,-8.447836266932889,8.582072109195476,0.7667178635689407,-6.979182767229851,7.120895403085414
Indonesia,8,0.9979174128344899,-3.374015883621394,4.119991075901019,-0.4239663880741184,-8.935655949872194,9.069014165486909,-0.41147450346878456,-7.5052425726994265,7.760503272655181
Indonesia,9,-0.16658102032472605,-4.143831239040372,3.3422274899537463,-0.3449479127546069,-9.872288259614413,8.527061175729376,-0.5778400444949379,-8.327113729686394,7.100485186260428
Indonesia,10,-0.20024468186527875,-4.081194810364198,3.6117988963699346,-0.3961196365292686,-10.88269452440552,8.494695185877308,-0.6031602157380682,-9.050242218842698,7.117009581765026
Indonesia,11,0.8568496106310436,-3.943442461318975,3.7241927138182387,1.0418810710895081,-10.280181265300053,9.17643865357109,1.050148940678885,-8.554682112633998,7.92583734908438
Indonesia,12,-3.277766251803966,-4.297117675101467,3.6425603403160847,-4.3836450718043585,-11.329093143149054,8.708611603545743,-2.9939879973777037,-9.176164097045486,7.445185254740737
Indonesia,13,-0.09473699851195143,-4.3698709250624015,3.6199584729438437,-0.6724754079720654,-11.192565476549126,8.669184885444233,-0.6637670097252567,-9.176002381346295,7.5488775939574495
Indonesia,14,0.5151842318467451,-4.401405027493062,3.8572187216251876,1.5578231987887874,-11.336338885188583,8.808005966324043,1.3575585358378313,-9.290108507915294,7.631470176761871
Indonesia,15,-0.31914559004554055,-4.174947260846335,3.8280362538044117,1.4270563178287428,-11.201333254684409,8.843958512038277,1.3630761716330542,-9.099384903073448,7.463385360933966
Indonesia,16,-0.1131360109306026,-3.8182902602622217,3.7905988890561937,0.6684152296027593,-11.275346906068135,8.6769733031774,0.6064639815542459,-9.224065191440204,7.495106692589192
Indonesia,17,-0.8719645580310439,-3.9030629381464053,3.544374290662479,-0.7421124316144189,-11.108067879599357,8.718149087833693,-1.2317853585920704,-9.134111905830832,7.448780693072607
Indonesia,18,-0.9171080217995015,-4.062615688819563,3.681442237426034,0.12477271922903578,-10.81774858222294,8.674370639861149,-0.566407988147741,-8.856870813593508,7.552906281268342
USA,0,0.25880249647620185,-1.2108686984026902,1.3035532843824675,-0.005431821008938926,-3.1884193574005915,2.4983431643221166,-0.11125462578814627,-2.963657190308444,2.4340273132040764
USA,1,0.8665630703708586,-0.5514284341960789,1.9623530834325686,0.17461853878761022,-1.841843379261997,3.274693682015816,-0.023021167809024953,-1.9657713789451492,3.3065947775203095
USA,2,0.8261784857762734,-0.5967157729705016,2.1539127958108666,-0.20379622956427304,-2.287585120770421,3.5440843571125704,-0.863077429701673,-2.64122823707806,3.440974092382775
USA,3,0.4236182439227135,-1.139963640492832,1.799398695200041,-0.6694275506253194,-3.5373365055646646,2.9439561747835175,-1.4611986429296295,-3.719879889728433,2.90260952270288
USA,4,0.21458266247721947,-1.262446139776408,1.8323366468245301,-1.0496193562164111,-3.9971914128473998,3.0011313012437246,-1.761881086395849,-3.9560683553669582,3.1045861089833253
USA,5,0.37921912139918895,-1.532080044667988,1.8145123037397162,0.23517540457257868,-3.2693806519769395,3.7961675418533005,-0.37424334942315435,-3.459852717325144,3.9312008218178427
USA,6,-0.16556974641163397,-1.6913082584239234,1.558296276387197,-0.28532601828680926,-3.7014832738550134,3.652466344859602,-0.8702424572175856,-3.7334533944482007,3.8919873212632035
USA,7,0.4666211732930194,-1.5472698206329816,1.7338317268487575,0.5701713604801399,-2.9969540220721975,4.148927519907857,0.025357808147455144,-3.1858252357689594,4.139523282415201
USA,8,-0.2275445883074536,-1.9978934814046063,1.5576811761082165,-0.3586898453506199,-3.9751270605129148,3.7682196619930846,-0.39658630918495297,-4.041108134094359,4.079893064015646
USA,9,0.07063635944170493,-1.9960509137313827,1.5941218801697656,-0.334674284755203,-3.5878636753628133,3.9667745027178265,-0.8803931300817702,-3.8568477746723713,4.200559595679028
USA,10,-0.054682977657754116,-2.0422608170622425,1.6210598360902515,-0.5442188419842584,-3.814388880465918,3.9774136085113843,-0.9757998910761032,-4.0035660879221115,4.180881033100857
USA,11,0.25279155429178735,-2.003937071358062,1.8330167671867013,-0.13939413102052847,-4.050217520325369,4.159724826680987,-0.3259339006309959,-4.1428239637163085,4.372160662836843
USA,12,0.6375742270518315,-2.0620816147408596,1.8854607592049142,1.2335302399739005,-4.184721147348515,4.117996363616332,1.06212973987728,-4.374858528018028,4.435698061644036
USA,13,0.39137651800210493,-2.0536478390983683,1.8286950602856709,1.1924534109584628,-4.193169424609435,4.215794675996843,1.0179702958665855,-4.2879925185631,4.434937517742068
USA,14,0.21661542386688765,-1.9499472207829869,1.7421376524809489,-0.17337446239964918,-4.167082541953503,4.273557215114205,-0.3933253376781115,-4.287877147864026,4.493619503334326
USA,15,0.3672057763572362,-1.9877972270353816,1.909041455317786,-0.31412967542581866,-4.2385962222307185,4.197010336523601,-0.18430211163991822,-4.376692655594333,4.484041518519457
