date,gas_europe_real,lng_japan_real,log_gas_europe,log_lng_japan
2012-01,13.368049419354632,19.509179545625845,2.5928674881260734,2.970885100733127
2012-02,12.955078609848272,18.675351629124805,2.561487881911393,2.927204559710418
2012-03,13.916216718863952,18.996740282893647,2.6330548305274397,2.944267400389415
2012-04,13.254778175167807,19.55718145810662,2.5843581044193478,2.9733425569898544
2012-05,13.53812344246524,19.91174169544716,2.6055096642650577,2.9913095926753623
2012-06,13.374715461109046,20.02133210888386,2.5933660186200047,2.9967983105787477
2012-07,12.951923679800156,21.074513732361257,2.5612443238162927,3.048064430424161
2012-08,12.934962396388599,20.524707773876003,2.559933908512669,3.021629417667149
2012-09,12.75839137579015,19.379397730554892,2.546189202241395,2.964210529124972
2012-10,13.298268360768633,17.570250942984465,2.587633828312707,2.866207184566248
2012-11,13.608216848455589,17.2547128255988,2.610673790332231,2.8480853134441455
2012-12,13.563846613234183,17.72848823663603,2.6074079158268617,2.8751728506096064
2013-01,13.628886943652171,18.244567273347347,2.612191580132679,2.9038673520597267
2013-02,13.441084918427208,18.80838305917554,2.5983160549343323,2.934302677851696
2013-03,13.5935065920665,18.63238013925206,2.6095922222576755,2.924900934867045
2013-04,14.781019573260178,18.59103393531171,2.6933438964466476,2.9226794180087783
2013-05,14.098099902248812,18.606279936084274,2.6460400295975943,2.9234991547069176
2013-06,13.64119403947492,19.008408808362283,2.6130941881349004,2.9448814501229
2013-07,13.249053098611709,18.468723155564774,2.5839260856228194,2.916078661099516
2013-08,13.263076669250532,17.775257391779064,2.584983984182421,2.8778074561346205
2013-09,12.813865116017421,17.039593078721833,2.5505277968634275,2.8355396407593294
2013-10,12.943618517410645,17.417534152716172,2.5606028881119527,2.8574774087478976
2013-11,12.976603355968322,17.499097345176196,2.563147994131795,2.8621492993235145
2013-12,13.089711597183486,18.563590992369306,2.5718265473783672,2.9212021888354878
2014-01,13.103279285850514,18.84656304530872,2.5728625260446503,2.936330565455693
2014-02,12.761367221584354,18.927479171128653,2.5464224212035838,2.940614790539226
2014-03,12.262011212774485,18.652232129725896,2.506505963772837,2.925965824168112
2014-04,12.070456178707762,18.887507850932277,2.490760828820084,2.9385007432669266
2014-05,11.452451306446491,18.32392209031439,2.4382037949859616,2.9082074242316973
2014-06,10.955178649288776,18.086697196829885,2.3938122804716313,2.8951767065540572
2014-07,10.38283894296315,17.035920207386145,2.3401543415919526,2.8353240682853906
2014-08,10.238871020503394,17.632366505768427,2.3261913616292085,2.869736219152407
2014-09,10.350152701539301,16.981419367460585,2.3370012733744554,2.8321197679350885
2014-10,10.945996656485809,17.802649628614073,2.392973787266336,2.8793473017602693
2014-11,9.990084314695256,17.499484771471803,2.3015930325342815,2.8621714388658726
2014-12,11.06813286869213,17.58740950243856,2.4040700666133863,2.867183276865851
2015-01,10.481851964714862,18.346073871214447,2.3496453774711323,2.9094155936363424
2015-02,9.347649282868062,16.050377245069708,2.2351248980939005,2.7757323536655156
2015-03,9.322534823578398,14.699619600902334,2.2324345684973186,2.6878216159602255
2015-04,7.623680135245853,12.31950674735445,2.0312592104935203,2.511183920563172
2015-05,7.497606163648275,10.483179875520193,2.014583791413838,2.349772056106035
2015-06,7.465717686974647,10.286348657165966,2.010321566621101,2.330817643061164
2015-07,7.476243933422437,10.616489890510188,2.011730517929711,2.3624084423960694
2015-08,7.096315160058702,10.974144074295506,1.9595756577835166,2.395541967245291
2015-09,7.033897363733398,11.547688187912632,1.9507409424942963,2.4464852600430573
2015-10,6.747209283756032,11.312485217043694,1.9091289799512368,2.425907002244523
2015-11,6.146827880400121,10.639600258438026,1.8159361569472168,2.3645829135120655
2015-12,5.694734793565277,10.15878033901232,1.7395420275207398,2.3183383895715104
2016-01,4.92501483382154,9.402301046386576,1.594327286562976,2.2409544514880286
2016-02,4.449623120032747,9.59414959886154,1.4928194004640956,2.2611534959186472
2016-03,4.368679487866534,8.647974229178255,1.4744607867533432,2.1573251003577045
2016-04,4.418791226551902,7.590971326217626,1.4858661805319584,2.0269595576882304
2016-05,4.808120801667485,6.962336588095872,1.5703063220561035,1.9405151346865341
2016-06,5.2709696337401315,7.087017994944715,1.6622143368509983,1.958264658973296
2016-07,5.17391454779064,7.489435191234418,1.643629567931789,2.0134933863058557
2016-08,4.478731519158004,7.8958377893304075,1.4993398632892454,2.066335758522291
2016-09,4.687606869776792,8.316366070145179,1.5449221899223542,2.1182253890058935
2016-10,5.87607435515554,8.41797168856552,1.7708889122743772,2.1303689071407184
2016-11,6.253837367477667,8.34211346558093,1.8331952541368706,2.1213165974061696
2016-12,5.942081426779203,8.321106647463866,1.7820594805445034,2.118795256500487
2017-01,6.704329299507247,8.778958887302649,1.902753481828341,2.1723578228601648
2017-02,6.595552915789428,9.16836363996514,1.886395621288743,2.2157588232308494
