instrument,nlags,n_regressors,F,p,R2,N
z,6,18,1.5567022962398562,0.08295750395757395,0.2755584055075091,148
z_w,6,18,1.5152389745906072,0.09638883482698202,0.25815664200239086,148
z,3,9,1.96450459607025,0.04825636915548226,0.2018713604611556,154
z_w,3,9,1.60678487331654,0.1193921045708306,0.1725701728440584,154
z,1,3,2.1769860762402105,0.09324592319237002,0.12858824838580252,161
z_w,1,3,1.4139392531229584,0.24110169676430426,0.10253887667683603,161
