series,h,beta,lo90,hi90
from_aus_log,0,-0.05929367250433296,-0.2098101153648794,-0.004220559103518265
from_aus_log,1,-0.04468062488591571,-0.13612829179891933,0.05694784612258996
from_aus_log,2,0.04876457325537523,-0.1320923664762536,0.13739813424538921
from_aus_log,3,0.028030304889772747,-0.16759360544140778,0.1371894872095892
from_aus_log,4,-0.039135875493833266,-0.15080369688489612,0.10125685940658748
from_aus_log,5,-0.035019382607312535,-0.1512185016444349,0.1371279111578179
from_aus_log,6,-0.03189804987846342,-0.13122705107846,0.12073390719913955
from_aus_log,7,-0.0337153863405457,-0.1399013510782379,0.11856063350762935
from_aus_log,8,0.045784657071830895,-0.1355737707087119,0.1447555260134818
from_aus_log,9,-0.004530688809975685,-0.14526081836883512,0.13075441846654337
from_aus_log,10,0.012475971602121065,-0.14460116776661966,0.1430531050776157
from_aus_log,11,0.004704187268322408,-0.16303119280577266,0.1400512720576562
from_aus_log,12,-0.005472787814378045,-0.15489604596592935,0.14467850004785288
non_aus_log,0,-0.13537649636615118,-0.23458673948777053,0.06476324907601202
non_aus_log,1,-0.009977739889407356,-0.13942470751753627,0.17240670467443248
non_aus_log,2,-0.104280411853797,-0.23733038690808397,0.17191034408321734
non_aus_log,3,0.05482174613118516,-0.15598187038438818,0.293540441287623
non_aus_log,4,-0.011128626244937387,-0.17922130963950908,0.19980253698320824
non_aus_log,5,-0.0358378765304836,-0.23967580715574796,0.19931981057353076
non_aus_log,6,-0.004354804594665954,-0.19362926066781727,0.19351448531765386
non_aus_log,7,-0.026161875053269272,-0.18703853910903018,0.2054393568933337
non_aus_log,8,0.026467185812887158,-0.19462010843475724,0.24879256192927077
non_aus_log,9,-0.0054165591382126285,-0.236835715703045,0.23675004733334223
non_aus_log,10,-0.0463459790035584,-0.23988495634404716,0.21672981973003297
non_aus_log,11,-0.04157397310587994,-0.23512274016942114,0.21701388058719148
non_aus_log,12,-0.07656257328210718,-0.2312756346492187,0.22414772300737135
total_log,0,-0.07125606981919023,-0.1991474889734567,0.016111320381573754
total_log,1,0.03729546150973271,-0.11562825935012289,0.11845806542011532
total_log,2,-0.015396247409849271,-0.17426297485212794,0.15071718902654388
total_log,3,0.03199982878561339,-0.16764368877867655,0.18141793868996475
total_log,4,0.03904908602377644,-0.15865332531715648,0.16196550188820819
total_log,5,0.056060483104983884,-0.19029049022437453,0.18495865976204148
total_log,6,0.050408716913123916,-0.15861499700018086,0.1278011195637442
total_log,7,0.05799887299293516,-0.14873146718127916,0.14491170607238013
total_log,8,0.10331125043205075,-0.14216624579599407,0.17427087576890282
total_log,9,0.019778186987824232,-0.16877576724891552,0.1621614534222415
total_log,10,0.057537018140990874,-0.171200330367493,0.1654384772586725
total_log,11,-0.0190681913192552,-0.19082730873507864,0.15835658623194127
total_log,12,-0.021288699851990386,-0.17837028498559626,0.1651329474930961
total_mt,0,-0.9896795300939825,-2.801903886648614,0.22410901237533215
total_mt,1,0.4935701528746473,-1.7391706449097195,1.6896326014767564
total_mt,2,-0.38179654129909474,-2.658598762179935,2.142339980893056
total_mt,3,0.43213303560766175,-2.4574410934882067,2.6115978553971986
total_mt,4,0.5097503050817228,-2.2709544323357336,2.238356185185583
total_mt,5,0.949307610372541,-2.6389003048929713,2.7737972443710524
total_mt,6,0.5023991358286723,-2.374492775101626,1.8239620432334518
total_mt,7,0.6655855912219927,-2.180255205089752,2.120047769461353
total_mt,8,1.4313334189252083,-2.0037538145690554,2.636400095301238
total_mt,9,0.3145022014967015,-2.381780578611155,2.442635770337691
total_mt,10,0.9860823745163536,-2.4485308578176337,2.449147743440301
total_mt,11,-0.05388292243309602,-2.691769296747277,2.324445965676477
total_mt,12,-0.22726792167660817,-2.5930167996134634,2.4359543017981213
from_aus_mt,0,-0.5288276928602805,-1.8724388691259117,-0.03999078207445718
from_aus_mt,1,-0.4077759351662012,-1.186627952208179,0.5447936907975048
from_aus_mt,2,0.421269539935929,-1.2700060142701635,1.2296888147545277
from_aus_mt,3,0.26501799821133365,-1.4865215038217752,1.2706483479310275
from_aus_mt,4,-0.4159166430798209,-1.3812049356229594,0.8739078927091419
from_aus_mt,5,-0.33532470049370827,-1.3492486423291088,1.267140773782234
from_aus_mt,6,-0.3207750593120548,-1.2300020722529428,1.1290940387675326
from_aus_mt,7,-0.3542273716126385,-1.3105446623951111,1.1095334375208827
from_aus_mt,8,0.4603897688538292,-1.2330962914875263,1.382642346337095
from_aus_mt,9,-0.030677995368268287,-1.337585292125961,1.250984328875851
from_aus_mt,10,0.1411972271414326,-1.3106528926466758,1.362518815662735
from_aus_mt,11,0.11491218299223092,-1.4592661261688364,1.3159730174362885
from_aus_mt,12,0.02757090422108442,-1.424120679539117,1.3644008895918684
non_aus_mt,0,-0.7570968827740637,-1.3150235834919402,0.34857868174443996
non_aus_mt,1,-0.09284026482762826,-0.7807782742306857,0.9255967675951942
non_aus_mt,2,-0.6392323429045105,-1.3204112027290442,0.8788433421745685
non_aus_mt,3,0.2589430424105594,-0.874925042978582,1.6062419562192929
non_aus_mt,4,-0.12315510380345944,-0.9806042382058414,1.0525918242469539
non_aus_mt,5,-0.142582092032977,-1.2655515842391523,1.162478353685838
non_aus_mt,6,-0.09492071881490971,-1.0795447040540789,1.0450545947027898
non_aus_mt,7,-0.21458208031073167,-1.042184443739648,1.1206580007808546
non_aus_mt,8,0.15166731521670948,-1.0444665993096982,1.4182837807808175
non_aus_mt,9,-0.024663879007258534,-1.2371120057467135,1.3204790687154473
non_aus_mt,10,-0.13649630414911795,-1.2834185675808465,1.2293845899862952
non_aus_mt,11,-0.23136971472273024,-1.2513571065160178,1.205145017921938
non_aus_mt,12,-0.4006811670316971,-1.234964292146827,1.2489937820568213
