object,h,point,se_ols,se_nw,mbb_lo90,mbb_hi90,wild_lo90,wild_hi90,dwb_lo90,dwb_hi90,implied_SE_from_block,note,seed,nboot,block
aus_exports_log_FS,0,-0.11962151547606585,0.035701819314188456,0.03684487181872713,-0.15060686323196953,-0.03179111328312815,-0.1970235033248727,-0.04278588314801426,-0.14215239541248414,-0.09715243989465855,0.03611420971089404,FS: z_w drop2022 REA monthFE,20260906,1000,12
price_real_log_FS,0,-0.002643683036192846,0.052262052768867896,0.03364623259553017,-0.2721407087381718,0.08541388163038251,-0.0589991167165536,0.04979900903975799,-0.0618475104782443,0.053512727347441016,0.10867920679895267,FS: z_w drop2022 REA monthFE,20260906,1000,12
aus_exports_log_FS,1,-0.07466229094182215,0.037817027793689006,0.039667061721059244,-0.1332574452622379,0.06211617120632344,-0.16467174162987014,0.018385352241514094,-0.11729763450826218,-0.03520552425638301,0.05938407795397001,FS: z_w drop2022 REA monthFE,20260906,1000,12
price_real_log_FS,1,-9.545080016472582e-5,0.08100461426667585,0.05805640810069387,-0.32863216096035985,0.20156158294325605,-0.09948809549898822,0.09142809237955998,-0.08274536498348602,0.09235966610849491,0.16115311364851548,FS: z_w drop2022 REA monthFE,20260906,1000,12
aus_exports_log_FS,3,-0.0014022752994179036,0.03815395384415996,0.021161978912087466,-0.08736562918706645,0.09927377589264276,-0.05060485099839402,0.04609408289396986,-0.02797549878026686,0.025173466861011875,0.05672930245583867,FS: z_w drop2022 REA monthFE,20260906,1000,12
price_real_log_FS,3,-0.059322287829852806,0.11626317863156577,0.07635149411340873,-0.43378374251131885,0.3297513607603213,-0.15767253187670727,0.03878357405184392,-0.1868014212890391,0.07671928474680424,0.2320775389883405,FS: z_w drop2022 REA monthFE,20260906,1000,12
aus_exports_log_FS,6,-0.06212448468458924,0.037914988205820864,0.02261000521931606,-0.12439374988636967,0.09764636184621825,-0.10440025340238705,-0.019663837172690494,-0.10134053908722238,-0.022860542080276047,0.06748939566340058,FS: z_w drop2022 REA monthFE,20260906,1000,12
price_real_log_FS,6,0.017714156643928974,0.15390334185934812,0.1307033903765445,-0.5072357661688659,0.47020873491982107,-0.1505347570730103,0.1868569263398546,-0.2107712150451014,0.26112623908971905,0.2970955930360751,FS: z_w drop2022 REA monthFE,20260906,1000,12
aus_exports_log_FS,12,0.017095147497119198,0.04035247776151181,0.027342950966631287,-0.14187915363454934,0.1256638423749108,-0.030854792382488044,0.06470322169713427,-0.02896350006941549,0.06151263917723916,0.0813200595773435,FS: z_w drop2022 REA monthFE,20260906,1000,12
price_real_log_FS,12,0.08109815593860699,0.2159257386101225,0.16970973781516405,-0.5608134199691192,0.6634620999191274,-0.15438505995436763,0.3220682086915996,-0.19596847184553554,0.37559420541019545,0.3721202188110172,FS: z_w drop2022 REA monthFE,20260906,1000,12
exporter_log_Australia,0,-0.06791462657864498,0.025268626035197746,0.021919582312045625,-0.10293963674808673,-0.01620725673339183,-0.10756406431858258,-0.029062909418303893,-0.10429951722200692,-0.03216259219176155,0.02636242553638143,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Australia,0,-2.0844028667215055,0.7755324471215066,0.6727452171979165,-3.1593735362516284,-0.49742528375170186,-3.301304230278568,-0.8919847573133595,-3.2011103299444486,-0.9871187215918878,0.809102812310008,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Australia,1,-0.03727733792798092,0.027501150570365705,0.02854877139488298,-0.09776291881174899,0.03857763763911261,-0.08997674854860521,0.014568429172334417,-0.08717123786399394,0.012594440183732975,0.04144089861728316,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Australia,1,-1.1440980235804163,0.8440520102194714,0.8762050818016627,-3.000492213474777,1.1840061933226362,-2.7615228421496636,0.44712718099508003,-2.6754174653226293,0.38654246583136126,1.2718840142241377,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Australia,3,0.01866481410564634,0.028117219300180026,0.016104544499565717,-0.03650810968569339,0.05822041115658235,-0.015311235871543274,0.051821462137390306,-0.008477676450439979,0.04501622211208111,0.02879286347789536,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Australia,3,0.5728514458307642,0.8629600936650224,0.49427288955593024,-1.1204892424656359,1.7868726963543915,-0.4699250448905392,1.590479248410401,-0.2601927447244613,1.3816161134411409,0.883696637939218,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Australia,6,-0.037709853970607006,0.028523790976195767,0.016242038972011274,-0.07243890618829862,0.0466595790796566,-0.07261131515686939,-0.0014855490427344322,-0.0619507121781666,-0.012825437724429801,0.03620014749785873,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Australia,6,-1.1573725967404245,0.8754383948750514,0.49849280339425495,-2.223259867978684,1.4320532305516134,-2.228551360642952,-0.045593752617417674,-1.9013612908564963,-0.393632130610369,1.1110374159666556,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Australia,12,-0.013800435077977086,0.028454408781050964,0.019225809386251895,-0.07263624064699183,0.07261796213398634,-0.05002425929285774,0.024089873337545357,-0.04138416334794924,0.013296536602710483,0.04415021361123957,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Australia,12,-0.42355627775158106,0.8733089501038019,0.5900692416137884,-2.2293163617286234,2.228755366449294,-1.5353203680639744,0.7393547395212571,-1.2701427227821993,0.40809086949867657,1.3550369994461755,log beta x fixed qbar/1e6,20260906,1000,12
exporter_log_Indonesia,0,0.06989971124449806,0.04693078471377875,0.06976907309299375,-0.07752771632069659,0.22849549561655902,-0.023038704816185748,0.165089571228987,-0.06996893799215538,0.2028086500055796,0.09301617384111113,03-style binary z; no REA,20260906,1000,12
exporter_Mt_Indonesia,0,2.0211263023285753,1.3569876282057478,2.0173489447488078,-2.2416874665925297,6.60686929791261,-0.6661562894402112,4.773508627009042,-2.0231279701183813,5.864142920880684,2.689530931460529,log beta x fixed qbar/1e6,20260906,1000,12
