h,spec1_drop2022,spec2_keep2022,spec3_keep2022_step,spec4a_gas_europe,spec4b_lng_japan,spec4c_both_gas,n_spec4a,n_spec4b,n_spec4c
0,-0.002643683036192846,0.06399078587460892,0.0641739615410274,0.045156976983123855,0.06524109229464115,0.04776090293703461,149,149,149
3,-0.059322287829852806,0.13418438824913248,0.1356994997328617,0.05313508499147689,0.1219087113451311,0.07458858027632166,148,148,148
6,0.017714156643928974,0.24431263401190043,0.24745286675243094,0.12380485683752888,0.2039550825861995,0.14122050203526212,148,148,148
12,0.08109815593860699,0.13366931177468394,0.1360283135743595,-0.036559724553276975,-0.008874316274332631,0.03449439213710693,145,145,145
