series,h,current_beta,current_lo,current_hi,harm_log,harm_log_lo,harm_log_hi,harm_mt,harm_mt_lo,harm_mt_hi
Japan_total,0,-0.016045679071022594,-0.08121141531278227,0.026892447174912855,-0.07125606981919023,-0.1991474889734567,0.016111320381573754,-0.9896795300939825,-2.801903886648614,0.22410901237533215
Japan_total,1,0.01470803928531226,-0.04861473255823183,0.058312309755743516,0.03729546150973271,-0.11562825935012289,0.11845806542011532,0.4935701528746473,-1.7391706449097195,1.6896326014767564
Japan_total,2,-0.013204403422514364,-0.06588974277341901,0.07400678801939556,-0.015396247409849271,-0.17426297485212794,0.15071718902654388,-0.38179654129909474,-2.658598762179935,2.142339980893056
Japan_total,3,0.019808534155256838,-0.061062684094867474,0.09085203448385121,0.03199982878561339,-0.16764368877867655,0.18141793868996475,0.43213303560766175,-2.4574410934882067,2.6115978553971986
Japan_total,4,0.010183642898801812,-0.05821259728186169,0.07619913341416576,0.03904908602377644,-0.15865332531715648,0.16196550188820819,0.5097503050817228,-2.2709544323357336,2.238356185185583
Japan_total,5,0.012909818484771988,-0.07481877693083816,0.08770232326464655,0.056060483104983884,-0.19029049022437453,0.18495865976204148,0.949307610372541,-2.6389003048929713,2.7737972443710524
Japan_total,6,0.01628443372664186,-0.060273745065149265,0.05678779199716988,0.050408716913123916,-0.15861499700018086,0.1278011195637442,0.5023991358286723,-2.374492775101626,1.8239620432334518
Japan_total,7,0.00034510266095802796,-0.058387795535886536,0.06161205542933878,0.05799887299293516,-0.14873146718127916,0.14491170607238013,0.6655855912219927,-2.180255205089752,2.120047769461353
Japan_total,8,0.019269602596527706,-0.056201293402629277,0.08094025421400447,0.10331125043205075,-0.14216624579599407,0.17427087576890282,1.4313334189252083,-2.0037538145690554,2.636400095301238
Japan_total,9,0.010005524715702397,-0.06788828448606704,0.07623081101814484,0.019778186987824232,-0.16877576724891552,0.1621614534222415,0.3145022014967015,-2.381780578611155,2.442635770337691
Japan_total,10,0.0342194793804271,-0.0713339571150979,0.07489026407854003,0.057537018140990874,-0.171200330367493,0.1654384772586725,0.9860823745163536,-2.4485308578176337,2.449147743440301
Japan_total,11,-0.011238861036778501,-0.08762401097443578,0.0731050950423198,-0.0190681913192552,-0.19082730873507864,0.15835658623194127,-0.05388292243309602,-2.691769296747277,2.324445965676477
Japan_total,12,-0.025991839696916114,-0.07711872426310973,0.07561555309571551,-0.021288699851990386,-0.17837028498559626,0.1651329474930961,-0.22726792167660817,-2.5930167996134634,2.4359543017981213
Japan_from_Australia,0,-0.039045955745013704,-0.09089380496211363,0.0014231831516949391,-0.05929367250433296,-0.2098101153648794,-0.004220559103518265,-0.5288276928602805,-1.8724388691259117,-0.03999078207445718
Japan_from_Australia,1,-0.031150213287232935,-0.07843473606027014,0.02251802161773139,-0.04468062488591571,-0.13612829179891933,0.05694784612258996,-0.4077759351662012,-1.186627952208179,0.5447936907975048
Japan_from_Australia,2,0.01475276118127321,-0.054021903250713224,0.06703609538233254,0.04876457325537523,-0.1320923664762536,0.13739813424538921,0.421269539935929,-1.2700060142701635,1.2296888147545277
Japan_from_Australia,3,0.03552945751799232,-0.06258685224983983,0.09612665241393518,0.028030304889772747,-0.16759360544140778,0.1371894872095892,0.26501799821133365,-1.4865215038217752,1.2706483479310275
Japan_from_Australia,4,-0.0035257780298819587,-0.06359806774371128,0.05863347303210082,-0.039135875493833266,-0.15080369688489612,0.10125685940658748,-0.4159166430798209,-1.3812049356229594,0.8739078927091419
Japan_from_Australia,5,-0.004265966415885776,-0.07345337572240367,0.06981944319167051,-0.035019382607312535,-0.1512185016444349,0.1371279111578179,-0.33532470049370827,-1.3492486423291088,1.267140773782234
Japan_from_Australia,6,0.017357038917387067,-0.05741639490421487,0.07180094871867251,-0.03189804987846342,-0.13122705107846,0.12073390719913955,-0.3207750593120548,-1.2300020722529428,1.1290940387675326
Japan_from_Australia,7,0.010453447631692458,-0.06436585493714841,0.06623701477835434,-0.0337153863405457,-0.1399013510782379,0.11856063350762935,-0.3542273716126385,-1.3105446623951111,1.1095334375208827
Japan_from_Australia,8,0.03374288797706061,-0.05937883016341286,0.07663366041033581,0.045784657071830895,-0.1355737707087119,0.1447555260134818,0.4603897688538292,-1.2330962914875263,1.382642346337095
Japan_from_Australia,9,0.01141102186892317,-0.06587413219057811,0.06589537845548706,-0.004530688809975685,-0.14526081836883512,0.13075441846654337,-0.030677995368268287,-1.337585292125961,1.250984328875851
Japan_from_Australia,10,0.028464377703510117,-0.07338692307525886,0.07575431518942179,0.012475971602121065,-0.14460116776661966,0.1430531050776157,0.1411972271414326,-1.3106528926466758,1.362518815662735
Japan_from_Australia,11,-0.00933489940278002,-0.08657202612013981,0.06939136415758979,0.004704187268322408,-0.16303119280577266,0.1400512720576562,0.11491218299223092,-1.4592661261688364,1.3159730174362885
Japan_from_Australia,12,-0.030943540238315994,-0.08337876716174172,0.06953400937597891,-0.005472787814378045,-0.15489604596592935,0.14467850004785288,0.02757090422108442,-1.424120679539117,1.3644008895918684
Japan_non_Australia,0,NaN,NaN,NaN,-0.13537649636615118,-0.23458673948777053,0.06476324907601202,-0.7570968827740637,-1.3150235834919402,0.34857868174443996
Japan_non_Australia,1,NaN,NaN,NaN,-0.009977739889407356,-0.13942470751753627,0.17240670467443248,-0.09284026482762826,-0.7807782742306857,0.9255967675951942
Japan_non_Australia,2,NaN,NaN,NaN,-0.104280411853797,-0.23733038690808397,0.17191034408321734,-0.6392323429045105,-1.3204112027290442,0.8788433421745685
Japan_non_Australia,3,NaN,NaN,NaN,0.05482174613118516,-0.15598187038438818,0.293540441287623,0.2589430424105594,-0.874925042978582,1.6062419562192929
Japan_non_Australia,4,NaN,NaN,NaN,-0.011128626244937387,-0.17922130963950908,0.19980253698320824,-0.12315510380345944,-0.9806042382058414,1.0525918242469539
Japan_non_Australia,5,NaN,NaN,NaN,-0.0358378765304836,-0.23967580715574796,0.19931981057353076,-0.142582092032977,-1.2655515842391523,1.162478353685838
