h,wexc,wexc_lo,wexc_hi,aus,aus_lo,aus_hi,leakage,leak_lo,leak_hi
0,1.4857989927105422,-4.3305393186063235,8.98905784360814,-3.226348741016594,-4.264698004172745,-1.2507628449626877,0.4605202698088924,-1.7012451292035908,3.9932258576528525
1,6.3593425415962,-2.5284613674062797,16.005222562295135,-2.366683890835751,-3.8014397620966074,1.065025871213482,2.687026588646156,-0.8603306484577029,18.52426466070946
2,3.493562053718311,-6.292602187936267,12.963689220652157,-1.53718918780147,-4.482724803659355,1.010773429773457,2.272694917087531,-4.031881238734408,27.153500976639044
3,3.948708956452747,-6.57020832055945,15.160047915952003,0.5455656816481385,-2.090464784217628,2.6831476177545297,NaN,-12.89866947860543,69.20546924601192
4,5.565045968110079,-8.794367029958952,14.932475815508937,-0.031773119467072515,-3.3578568260661643,2.7012445035800337,175.14949937091671,-12.739098117668586,45.47567357978574
5,9.156353387382953,-10.350156922156948,15.552101101830203,-0.9748671024446863,-4.416690432403673,2.0679121453829317,9.392411913810049,-8.718694945915114,48.749082060412405
6,9.1682342921901,-9.925023009827157,16.399560393713074,-1.5159976461679483,-3.644805774472852,2.151416995611921,6.047657339947087,-8.860371174390721,44.66061327405019
