object,h,beta,lo90,hi90
Aus_exports_log,0,-0.11566162263737205,-0.1493521968358318,-0.040579551775424216
Aus_exports_log,1,-0.08836159701748282,-0.13877353376895807,0.03821406718212698
Aus_exports_log,2,-0.05089389808092653,-0.1540056070193518,0.03307217574019318
Aus_exports_log,3,0.020176262635239587,-0.06964819797068687,0.09083029891584544
Aus_exports_log,6,-0.04833827174473609,-0.12219288089271635,0.07201260440811537
Aus_exports_log,12,-0.012450934777524828,-0.11647096529338874,0.10902493261538097
Aus_exports_mt,0,-3.226348741016594,-4.264698004172745,-1.2507628449626877
Aus_exports_mt,1,-2.366683890835751,-3.8014397620966074,1.065025871213482
Aus_exports_mt,2,-1.53718918780147,-4.482724803659355,1.010773429773457
Aus_exports_mt,3,0.5455656816481385,-2.090464784217628,2.6831476177545297
Aus_exports_mt,6,-1.5159976461679483,-3.644805774472852,2.151416995611921
Aus_exports_mt,12,-0.4836802394271985,-3.4357991156579186,3.3073207993997116
Price_log_real,0,0.0649094052243883,-0.1363116326008082,0.23935071775936348
Price_log_real,1,0.11967512185211922,-0.17167729683495922,0.4362539832411416
Price_log_real,2,0.11412908391805608,-0.21176426045712626,0.5375473127158726
Price_log_real,3,0.11903777538700518,-0.25620762953818554,0.5832671685118588
Price_log_real,6,0.2120901194241227,-0.33838519049251636,0.6181214171375373
Price_log_real,12,0.08880250991976134,-0.4530055540950796,0.49093622063659664
W_exc_mt,0,1.4857989927105422,-4.3305393186063235,8.98905784360814
W_exc_mt,1,6.3593425415962,-2.5284613674062797,16.005222562295135
W_exc_mt,2,3.493562053718311,-6.292602187936267,12.963689220652157
W_exc_mt,3,3.948708956452747,-6.57020832055945,15.160047915952003
W_exc_mt,6,9.1682342921901,-9.925023009827157,16.399560393713074
W_exc_mt,12,2.1096751900460027,-16.269399651552135,13.186282338305599
Australia_mt,0,-3.226348741016594,-4.264698004172745,-1.2507628449626877
Australia_mt,1,-2.366683890835751,-3.8014397620966074,1.065025871213482
Australia_mt,2,-1.53718918780147,-4.482724803659355,1.010773429773457
Australia_mt,3,0.5455656816481385,-2.090464784217628,2.6831476177545297
Australia_mt,6,-1.5159976461679483,-3.644805774472852,2.151416995611921
Australia_mt,12,-0.4836802394271985,-3.4357991156579186,3.3073207993997116
Indonesia_mt,0,1.5596286603732032,-3.746945318021749,7.454906368552091
Indonesia_mt,1,2.9431367914755473,-2.083454592575099,9.576754999385685
Indonesia_mt,2,1.3194778890693435,-4.118500703194527,7.762056339037247
Indonesia_mt,3,2.839814085479029,-3.828021232379739,9.767086269315296
Indonesia_mt,6,2.6576201223532254,-5.009660656414324,8.612505790231094
Indonesia_mt,12,-2.4402462234214486,-8.725120380887146,7.079661549946718
USA_mt,0,0.2824102215189248,-2.3242613860913,2.3142191544126045
USA_mt,1,0.8172141769145402,-1.5335928429838679,3.693622543006462
USA_mt,2,0.586145776087196,-1.9844584781505166,4.313306956876976
USA_mt,3,0.25154826746563896,-2.770571995804897,3.777155442135096
USA_mt,6,-0.2617191894551878,-3.7264173816845934,3.677810474698214
USA_mt,12,1.9387257266298572,-4.2808553435050225,4.331466508182116
Colombia_mt,0,-0.5656748479531241,-3.018503488908089,1.5228004627374658
Colombia_mt,1,2.397202206604042,0.04950733705967845,4.594705150511367
Colombia_mt,2,0.8485033342350529,-2.782161228044914,2.566387457702173
Colombia_mt,3,0.3082720263736738,-2.112938694816342,2.944130592912792
Colombia_mt,6,1.9706990588154558,-3.053776441245767,3.547796727164998
Colombia_mt,12,1.3183779409727432,-3.288025955368531,3.4543949638942104
Canada_mt,0,-0.09518049510562716,-0.5524100976991662,0.3223945349388587
Canada_mt,1,0.18163917447225594,-0.24608792522224787,0.699800236645251
Canada_mt,2,-0.11018106166336979,-0.5666260298076361,0.45874667770732114
Canada_mt,3,-0.324703367429941,-0.7574696299210422,0.27375429130312073
Canada_mt,6,-0.08129638317849304,-0.6118060415531146,0.6155675163933403
Canada_mt,12,-0.18977172021921238,-0.691013749943191,0.6825437964430164
Japan_from_aus_mt,0,-0.47890647554153587,-1.360088421552166,0.10751850879770415
Japan_from_aus_mt,1,-0.4230669828318177,-1.091386525233118,0.49457268165087104
Japan_from_aus_mt,2,0.4249616842612706,-1.0429712196985133,1.2102261115888018
Japan_from_aus_mt,3,0.5713224673904354,-1.0277234878812462,1.4452570461969523
Japan_from_aus_mt,6,-0.039387706788286556,-1.0374266818580125,1.1735856782298395
Japan_from_aus_mt,12,-0.03024650916565714,-1.3271772987170682,1.279411282231048
Japan_non_aus_log,0,-0.03636650247302343,-0.1914599041590533,0.16384780116256284
Japan_non_aus_log,1,0.06953564475308162,-0.07937862867237461,0.24802220398253652
Japan_non_aus_log,2,-0.07014087770212957,-0.17904774850864247,0.18371169239122614
Japan_non_aus_log,3,0.01484300001479819,-0.1534990583628664,0.25629387260136605
Japan_non_aus_log,6,-0.024180709787545433,-0.1832719675128318,0.18212415943605123
Japan_non_aus_log,12,0.005379384694544195,-0.20264488294116403,0.2018190299767312
Japan_from_aus_log,0,-0.05258408127062346,-0.15320390880884174,0.011908578495698966
Japan_from_aus_log,1,-0.04692530907290762,-0.12468774356820436,0.05056595956413775
Japan_from_aus_log,2,0.051058840973947264,-0.10789982865167633,0.13626357421608093
Japan_from_aus_log,3,0.06650972645775062,-0.11407278045049332,0.16396142878597453
Japan_from_aus_log,6,-0.0024675240110469785,-0.11208384326539954,0.12588459748408848
Japan_from_aus_log,12,-0.010212602077596942,-0.14701437389452698,0.13644722384624963
Japan_total_log,0,-0.022932218657190407,-0.15323113904693075,0.07339572596010191
Japan_total_log,1,0.04648361912966754,-0.08568739175497059,0.13125451187017956
Japan_total_log,2,-0.010824838445256111,-0.13707089250406043,0.15016047388547318
Japan_total_log,3,0.06497591052235009,-0.13046198522553715,0.19297131974688764
Japan_total_log,6,0.061790359046559426,-0.13197367585138015,0.13215032840065377
Japan_total_log,12,-0.0072363381738134525,-0.16583858517156477,0.15176656047178344
Japan_non_aus_mt,0,-0.20926017373929046,-1.0703887882582273,0.8710021697028953
Japan_non_aus_mt,1,0.34533663934876546,-0.45919534861826217,1.3186742738895547
Japan_non_aus_mt,2,-0.4324729343956826,-1.0204244146814299,0.9290134869314666
Japan_non_aus_mt,3,0.08490501007968004,-0.853241227136858,1.413845440297432
Japan_non_aus_mt,6,-0.10611557665334928,-0.988719437386313,1.0069632428240503
Japan_non_aus_mt,12,0.033571868693884295,-1.1048136487428972,1.1163050836228328
Japan_total_mt,0,-0.2754239747703616,-2.1816496117920856,1.0911969569162003
Japan_total_mt,1,0.6627245575257076,-1.2927738342441473,1.9201892792785948
Japan_total_mt,2,-0.35519206289514904,-2.114304494784172,2.0855893805374337
Japan_total_mt,3,0.8002381491230643,-1.9704115433722984,2.6701035724760405
Japan_total_mt,6,0.8073267604303707,-1.964416736668938,1.9261953238329221
Japan_total_mt,12,-0.04259187177865266,-2.394519962367382,2.222154927114134
