H,CumAUS,CumEX,cum_leak,lo90,hi90
0,-3.283161089426422,-1.392039077859433,-0.4239935354809612,-4.01680339908835,1.5397330300020626
1,-5.453745677607753,1.285061715216399,0.23562919710258332,-3.182211964347227,3.771781589009998
2,-7.063002012288943,0.1711872867698192,0.02423718504850626,-3.286720321507306,3.267362750087973
3,-6.736725688593685,-0.6857844784076264,-0.10179789264223199,-5.395448574439778,6.290558127470587
4,-6.073676655869689,-1.6211842104597407,-0.26691974273819874,-9.95268491274232,10.715544425596573
5,-6.262438108940417,1.5380327609650295,0.2455964808289753,-12.294169714858384,14.678326168189688
6,-7.5501933901354645,4.230120675871721,0.5602665332252933,-15.170442914201196,17.54744086522097
7,-9.433014700953493,4.302502110568214,0.456111036287616,-13.267817643264372,17.63525504510928
8,-10.842583398250849,5.231199406081546,0.4824679888489911,-16.464069141859483,17.42701351785597
9,-10.715947253959493,6.11682163323398,0.5708148321627696,-17.893885580150737,20.62481290206333
10,-10.616962936558606,4.620772888654046,0.4352254892727193,-20.02545566827183,21.376878077784603
11,-10.807547191957037,7.185340668301826,0.6648447182954841,-18.59958247528913,22.562898894307203
12,-10.977090375723114,6.1018570751836485,0.5558719903298318,-19.623868586110856,21.294332699867468
13,-11.302064961476134,7.040467078826936,0.6229363486075201,-18.40132725754026,21.711257441217377
14,-11.320732816502058,6.3914685476002875,0.5645808139101686,-20.387660769567066,20.4370568849996
15,-10.259722277092596,8.519900195391735,0.8304221074691807,-20.935927196728905,20.78586667378128
16,-10.061488411401315,9.672072158552574,0.9612963572658426,-21.18450365057477,22.01197027599534
17,-10.863781013896089,8.738062111212257,0.8043297356634139,-20.470303152712134,21.53576909807726
18,-10.659329750197942,10.437134726353865,0.9791548784913093,-18.52423641255769,22.28943654764356
