H,CumAUS,CumWexc,cum_leak,lo90,hi90
0,-3.226348741016594,1.4857989927105422,0.4605202698088924,-1.8026311528683143,4.060785588558774
1,-5.593032631852346,7.845141534306742,1.4026632867522757,-1.6223840946982702,7.916357834281743
2,-7.130221819653816,11.338703588025053,1.590231534841025,-1.9381183551028327,8.842156437718954
3,-6.584656138005677,15.2874125444778,2.3216721153047124,-5.355776618176046,16.295890674414238
