exporter,h,beta_mt,lo90,hi90
Australia,0,-3.283161089426422,-4.369304419646355,-0.9959207230256761
Australia,1,-2.17058458818133,-3.6001600705757673,2.0574695532772433
Australia,2,-1.6092563346811903,-5.036397263124289,1.065240978382318
Australia,3,0.32627632369525805,-2.4118567269494475,2.8130047812990497
Australia,4,0.663049032723996,-2.8151013667659366,3.326360927176321
Australia,5,-0.18876145307072845,-3.8479863072179503,2.5633766251799877
Australia,6,-1.2877552811950472,-3.695607789538359,2.6178454057604448
Australia,7,-1.8828213108180283,-4.189521591852577,2.519869082444423
Australia,8,-1.4095686972973556,-3.7609025031959575,3.17510341775737
Australia,9,0.12663614429135447,-3.2281948261458355,3.3853822135681013
Australia,10,0.09898431740088755,-3.733335242241157,3.433764316762309
Australia,11,-0.19058425539843055,-3.697736588036471,3.4572689546972586
Australia,12,-0.1695431837660776,-3.7434003571187477,3.5539084189983132
Australia,13,-0.3249745857530211,-3.754425432041058,3.4858436005952913
Australia,14,-0.01866785502592529,-3.676040387751226,3.6387813514564127
Australia,15,1.061010539409463,-3.6464375026451195,3.6077968627903143
Australia,16,0.19823386569128032,-3.727637939850441,3.5669364348160606
Australia,17,-0.8022926024947744,-3.819760662319996,3.5127146901898425
Australia,18,0.2044512636981465,-3.808207444764391,3.591947912291354
Indonesia,0,-0.5937835043093623,-4.671941230668395,2.164159951502052
Indonesia,1,0.416816202622949,-3.603490001084922,4.152653797109771
Indonesia,2,-1.0089535479863048,-5.823871979494786,3.976463677393059
Indonesia,3,0.47724367501370535,-5.234220872848655,6.666539126575716
Indonesia,4,0.05119440489047561,-6.235940646268723,5.519382465809448
Indonesia,5,0.8974684555451511,-5.890098343924094,6.51812068518193
Indonesia,6,1.6661077060817377,-6.017292082992354,8.152435537263333
Indonesia,7,0.7667178635689407,-6.979182767229851,7.120895403085414
Indonesia,8,-0.41147450346878456,-7.5052425726994265,7.760503272655181
Indonesia,9,-0.5778400444949379,-8.327113729686394,7.100485186260428
Indonesia,10,-0.6031602157380682,-9.050242218842698,7.117009581765026
Indonesia,11,1.050148940678885,-8.554682112633998,7.92583734908438
Indonesia,12,-2.9939879973777037,-9.176164097045486,7.445185254740737
Indonesia,13,-0.6637670097252567,-9.176002381346295,7.5488775939574495
Indonesia,14,1.3575585358378313,-9.290108507915294,7.631470176761871
Indonesia,15,1.3630761716330542,-9.099384903073448,7.463385360933966
Indonesia,16,0.6064639815542459,-9.224065191440204,7.495106692589192
