estimator,measure,H,current,current_lo,current_hi,harm,harm_lo,harm_hi
log_qbar,impact,0,0.9264787910232254,-2.2947972727388564,4.848302825075005,-0.01155393641487469,-3.4902943513311904,1.9780163727708295
levels,impact,0,NaN,NaN,NaN,-0.4239935354809612,-3.961157789109876,1.4147481969913345
log_qbar,cumulative,0,NaN,NaN,NaN,-0.01155393641487469,-3.642171180577429,2.1675293669744464
levels,cumulative,0,NaN,NaN,NaN,-0.4239935354809612,-4.01680339908835,1.5397330300020626
log_qbar,impact,3,NaN,-4.6089832536271365,15.327243714439167,NaN,-22.005675805338072,31.82252210302812
levels,impact,3,NaN,NaN,NaN,NaN,-20.310127941130467,24.178507055066863
log_qbar,cumulative,3,NaN,NaN,NaN,0.07629348515800283,-4.938694175011609,6.024948940652637
levels,cumulative,3,NaN,NaN,NaN,-0.10179789264223199,-5.395448574439778,6.290558127470589
log_qbar,impact,6,1.1234718601553233,-3.8560465940024735,8.785513445170237,1.4897054951691013,-11.925574910734166,23.04104491551434
levels,impact,6,NaN,NaN,NaN,2.09052756701445,-10.886720555494431,23.623932049891337
log_qbar,cumulative,6,NaN,NaN,NaN,0.6490431173160953,-14.364779509332088,16.92762550180393
levels,cumulative,6,NaN,NaN,NaN,0.5602665332252934,-15.1704429142012,17.547440865220967
log_qbar,impact,12,-6.029644602563602,-7.399467785106754,7.3382961427818465,NaN,-19.647531998475348,16.53104065658008
levels,impact,12,NaN,NaN,NaN,-6.390605443702674,-19.274391037461672,15.346882115771965
log_qbar,cumulative,12,NaN,NaN,NaN,0.5075008535819928,-21.545681655320777,22.816680963126913
levels,cumulative,12,NaN,NaN,NaN,0.5558719903298317,-19.623868586110852,21.294332699867464
log_qbar,impact,18,-0.027651542815530672,-8.500171672899231,6.266863035522085,NaN,-19.178829476060347,15.597796032256667
levels,impact,18,NaN,NaN,NaN,NaN,-16.651694710793524,14.717965270334965
log_qbar,cumulative,18,NaN,NaN,NaN,1.1900358528500972,-20.495621179759212,24.69857241104401
levels,cumulative,18,NaN,NaN,NaN,0.979154878491309,-18.5242364125577,22.28943654764356
world_aggregate,implied_leak_impact,0,NaN,NaN,NaN,2.0355261307773382,-0.4091941125200985,5.001731834711839
world_aggregate,world_mt_response,0,NaN,NaN,NaN,-3.6744033272178886,-9.340782585251112,3.3190508290915317
world_aggregate,implied_leak_impact,3,NaN,NaN,NaN,NaN,-47.18072710942534,23.270607029903246
world_aggregate,world_mt_response,3,NaN,NaN,NaN,1.5533329853320348,-10.574860140330875,13.737952635377237
world_aggregate,implied_leak_impact,6,NaN,NaN,NaN,-4.687895668132913,-43.39985831808191,14.563512508853192
world_aggregate,world_mt_response,6,NaN,NaN,NaN,6.990485580866064,-13.679586090184635,17.175755159647967
world_aggregate,implied_leak_impact,12,NaN,NaN,NaN,NaN,-22.1987056009306,30.40885826244602
world_aggregate,world_mt_response,12,NaN,NaN,NaN,-1.734960925138209,-18.395981701097757,15.120305271931967
world_aggregate,implied_leak_impact,18,NaN,NaN,NaN,NaN,-20.522139506328223,28.410431890230058
world_aggregate,world_mt_response,18,NaN,NaN,NaN,5.050561660379555,-18.233351864280547,15.171358193043373
