EXISTS: out/irf_svar.csv from 02_estimate.jl
h,q_aus,price,importer
0,1.0,0.3617335338862206,0.7017386748732096
1,0.21779942758987,0.4102253289628435,0.672592478128787
2,0.005408140993463408,0.3300537257306787,0.27686305162386143
3,0.14760948282302078,0.1555362438580787,0.33190756386750014
4,-0.08792022418194864,0.033300033687293604,0.22213282407953458
5,0.06383283364292332,-0.05523658939880088,0.06795328682389952
6,0.0658681482497792,-0.10652791994325714,-0.06104176668490081
7,0.014754097968984657,-0.16528848699297571,0.01906748406850511
8,0.0009569564290678338,-0.21676468925362619,0.03281723212385147
9,0.010098953843806656,-0.20493457619335562,0.01422154945840398
10,-0.00473014423095906,-0.2249356022561557,0.02429134683412661
11,-0.011551442237458598,-0.26242368001479194,-0.024497955392677486
12,0.03403121967849541,-0.26170898044587776,-0.0408621516938866
13,0.020983231052057023,-0.2525243248734576,-0.009961495549323292
14,0.010519999964583047,-0.24045221174206294,0.004544264746242415
15,0.02483454658474747,-0.22081389863983386,0.007757688603850863
16,0.014402036281556561,-0.20690375126874005,0.0119399487659546
17,0.012667152801850788,-0.19982480084417556,0.008026585961253352
18,0.021671528432711026,-0.18591042707482222,0.0026354971807001338
19,0.020014223558307127,-0.16851931323725564,0.010613730091082407
20,0.014996306764014823,-0.1545705270570674,0.016369124868956933
21,0.016028917795653727,-0.13964313850546015,0.015593333522426875
22,0.01421179151096832,-0.1261984043666225,0.017297265643436383
23,0.010467881189929092,-0.11638273840785775,0.016564287673383114
24,0.011805577094085265,-0.10604287043485057,0.013978959485531394

