test,h,beta,rand_p,n_finite,n_events,pool
V1_Wexc_mt,1,6.3593425415962,0.1956,10000,10,80
V1_Wexc_mt,2,3.493562053718311,0.4095,10000,10,80
V1_Wexc_mt,3,3.948708956452747,0.3116,10000,10,80
V3_Aus_mt,1,-2.366683890835751,0.0215,10000,10,80
V3_Aus_mt,2,-1.53718918780147,0.1827,10000,10,80
V4_Japan_from_aus_log,0,-0.05258408127062346,0.2094,10000,10,80
V5_price_keep2022,0,0.0649094052243883,0.2345,10000,10,80
V2_CumWexc,3,15.2874125444778,0.2884,10000,10,80
