year,mean_mt_month,n_distinct_months,mean_n_reporters,sum_mt_year
2012,12.5528465035,12,4.166666666666667,150.634158042
2013,13.341134691166667,12,4.166666666666667,160.09361629400001
2014,17.76692408538067,12,5.25,213.20308902456802
2015,15.96370086483333,12,4.5,191.56441037799996
2016,15.245138706895503,12,4.75,182.94166448274603
2017,18.315847503623335,12,5.666666666666667,219.79017004348003
2018,14.646414548000001,12,5.25,175.756974576
2019,13.591221979164414,12,5.0,163.09466374997297
2020,12.762063775582831,12,4.166666666666667,153.14476530699397
2021,17.544078833340667,12,4.666666666666667,210.528946000088
2022,14.825000454333336,12,4.666666666666667,177.90000545200004
2023,12.619908778547085,12,4.583333333333333,151.43890534256502
2024,9.843149786083336,12,3.25,118.11779743300002
2025,11.823206287573333,12,2.0,141.87847545088
