date,partner,tonnes
2016-07,USA,153645.0
2016-07,World,2160240.459018
2016-09,Australia,190399.8
2016-09,Colombia,654633.0
2016-09,Indonesia,6726.582
2016-09,Russia,418114.7
2016-09,South Africa,170372.6
2016-09,USA,139082.0
2016-09,World,2093598.553803
2016-11,Australia,414909.3
2016-11,Canada,0.095
2016-11,Colombia,702519.0
2016-11,Russia,455802.7
2016-11,South Africa,144902.6
2016-11,USA,266666.89
2016-11,World,2874247.7228309996
2017-01,Australia,98604.84
2017-01,Colombia,606100.0
2017-01,Russia,542926.4
2017-01,South Africa,229276.0
2017-01,USA,420589.0
2017-01,World,2183485.604
2017-03,Australia,432009.495
2017-03,Colombia,379269.0
2017-03,Indonesia,24.624
2017-03,Russia,725447.86
2017-03,South Africa,70990.3
2017-03,USA,345253.9
2017-03,World,2579391.467
2017-05,Australia,16.5
2017-05,Colombia,354125.0
2017-05,Russia,397525.91
2017-05,South Africa,71702.8
2017-05,USA,217926.8
2017-05,World,1413391.175
2017-07,Australia,228820.99
2017-07,Colombia,516344.0
2017-07,Russia,549023.85
2017-07,South Africa,37273.7
2017-07,USA,157928.5
2017-07,World,1967688.628
2017-09,Australia,318319.0
2017-09,Colombia,127774.6
2017-09,Indonesia,77024.482
2017-09,Russia,399643.3
2017-09,South Africa,103466.5
2017-09,USA,306164.4
2017-09,World,1626172.048
2017-11,Australia,3.9
2017-11,Colombia,377602.268
2017-11,Russia,719947.0
2017-11,South Africa,63115.12
2017-11,USA,276147.7
2017-11,World,1738414.446
2017-12,Australia,286402.3
2017-12,Canada,33973.0
2017-12,Colombia,807674.158
2017-12,Indonesia,72250.0
2017-12,Russia,649441.0
2017-12,South Africa,27806.6
2017-12,USA,321914.7
2017-12,World,2441470.53
2018-02,Australia,0.253
2018-02,Colombia,316043.2
2018-02,Russia,597111.45
2018-02,South Africa,30606.1
2018-02,USA,344562.4
2018-02,World,1598765.648
2018-04,Australia,402591.6
2018-04,Colombia,53719.76
2018-04,Russia,498549.36
2018-04,South Africa,10543.649
2018-04,USA,181429.0
2018-04,World,1261835.457
2018-06,Australia,127375.082
2018-06,Colombia,244279.4
2018-06,Indonesia,27.66
2018-06,Russia,746561.3
2018-06,South Africa,1711.59
2018-06,USA,226627.1
2018-06,World,1540571.234
2018-08,Australia,237728.798
2018-08,Canada,13369.0
2018-08,Colombia,566824.47
2018-08,Indonesia,24.927
2018-08,Russia,602660.44
2018-08,South Africa,3860.64
2018-08,USA,347971.3
2018-08,World,1998375.157
2018-10,Australia,163395.152
2018-10,Canada,8005.77
2018-10,Colombia,257784.135
2018-10,Indonesia,0.009
2018-10,Russia,750523.8
2018-10,South Africa,123477.4
2018-10,USA,349991.0
2018-10,World,1795110.908
2018-12,Australia,418865.3
2018-12,Canada,14960.0
2018-12,Colombia,15224.43
2018-12,Russia,702907.0
2018-12,South Africa,21152.9
2018-12,USA,602973.0
2018-12,World,2020963.752
2019-01,Australia,102928.735
2019-01,Canada,5901.24
2019-01,Colombia,390707.0
2019-01,Indonesia,28006.2
2019-01,Russia,756360.0
