date,tonnes
2014-01,7.059011228e6
2014-02,3.9787126e6
2014-03,3.146794133e6
2014-04,5.30483865e6
2014-05,1.231303168e7
2014-06,6.726327274e6
2014-07,8.695808299e6
2014-08,8.436593674e6
2014-09,1.0334768523e7
2014-10,8.038907845e6
2014-11,4.873219475e6
2014-12,8.213781993e6
2015-01,5.628293916e6
2016-01,4.419577934e6
2016-02,7.048573464e6
2016-03,5.663622884e6
2016-04,5.513330087e6
2016-05,7.84207652e6
2016-06,7.12603677e6
2016-07,6.07737718e6
2016-08,1.1763215728e7
2016-09,6.4665882414e6
2016-10,6.228014862e6
2016-11,5.3352984768e6
2016-12,9.869857724e6
2017-01,6.26293911e6
2017-02,6.19647751e6
2017-03,8.4449091e6
2017-04,5.429642945e6
2017-05,1.228050841e7
2017-06,4.7314094e6
2017-07,1.00019868e7
2017-08,8.5347407e6
2017-09,1.203666088e7
2017-10,7.651878457e6
2017-11,6.60942383e6
2017-12,1.453268792e7
2018-01,8.0234855e6
2018-02,6.3120172e6
2018-03,8.28875125e6
2018-04,9.2349525e6
2018-05,6.8467276e6
2018-06,5.72511795e6
2018-07,8.0315968e6
2018-08,5.60103701e6
2018-09,5.73560854e6
2018-10,7.4728772e6
2018-11,5.223523269e6
2018-12,7.297804765e6
2019-01,4.95536546e6
2019-02,6.373051e6
2019-03,5.3935787e6
2019-04,6.78408115e6
2019-05,9.0419316e6
2019-06,4.46332351e6
2019-07,5.91061933e6
2019-08,5.0995163685e6
2019-09,5.9391888e6
2019-10,6.6772522e6
2019-11,4.72868092e6
2019-12,6.18247818e6
2020-01,1.364071126428e7
2020-02,6.889958943e6
2020-03,5.77712583e6
2020-04,3.84246325e6
2020-05,7.18065446e6
2020-06,6.5677441e6
2020-07,5.43717357e6
2020-08,4.90484244e6
2020-09,4.30737811e6
2020-10,3.05786747e6
2020-11,1.73359685e6
2020-12,4.4950663e6
2021-01,3.65748110774e6
2021-02,6.99515392e6
2021-03,2.99565423e6
2021-04,3.7969607e6
2021-05,4.51533252e6
2021-06,5.08063333e6
2021-07,4.564161273e6
2021-08,4.543172714e6
2021-09,4.586989266e6
2021-10,4.719482806e6
2021-11,3.973373381e6
2021-12,6.171983318e6
2022-01,4.3982941e6
2022-02,4.2392561e6
2022-03,3.38818802e6
2022-04,7.0926376e6
2022-05,2.4017717e6
2022-06,5.97278894e6
2022-07,6.8175421e6
2022-08,3.02050455e6
2022-09,5.37396128e6
2022-10,4.1479689e6
2022-11,4.6010095e6
2022-12,5.10790949e6
2023-01,4.09953914e6
2023-02,4.4184925696e6
2023-03,4.71571555e6
2023-04,2.793389694e6
2023-05,5.32314224e6
2023-06,4.8500952e6
2023-07,4.7004347e6
2023-08,3.32500706e6
2023-09,4.595002065e6
2023-10,4.6753709e6
2023-11,7.04972626e6
2023-12,6.19609016e6
2024-01,4.483167532e6
2024-02,4.95857387e6
2024-03,4.69993395e6
2024-04,5.807407803e6
2024-05,6.38441732e6
2024-06,3.335489695e6
2024-07,8.107603609e6
2024-08,2.695516436e6
2024-09,4.60067663e6
2024-10,4.219735497e6
2024-11,6.30261591e6
2024-12,5.06859012e6
2025-01,2.26321241e6
2025-02,3.88688456e6
2025-03,1.88394481e6
2025-04,3.7062269144e6
2025-05,5.63459978e6
2025-06,3.957739139e6
2025-07,4.75061965e6
2025-08,1.87947694e6
2025-09,5.066737158e6
2025-10,4.725271952e6
2025-11,4.3866352e6
2025-12,5.65478968e6
